//"STAD" "X" "Y" "AREA I HEKTAR" "FOLKMÄNGD"
Ängelholm 12.920 56.270 1283.34 23240
Höganäs 12.640 56.220 884.62 14107
Hässleholm 13.787 56.170 1203.45 18500
Helsingborg 12.770 56.060 3840.98 97122
Kristianstad 14.143 56.033 1768.62 35711
Åhus 14.283 55.917 963.09 9423
Landskrona 12.873 55.897 1209.00 30499
Eslöv 13.313 55.843 914.02 17748
Lund 13.203 55.715 2 575.03 82800
Malmö 13.000 55.600 7681.36 280415
Simrishamn 14.308 55.540 449.06 6527
Ystad 13.797 55.422 865.48 18350
Skanör-Falsterbo 12.850 55.417 541.96 6937
Trelleborg 13.167 55.377 1365.73 28290
